Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points,,,Player Name
Ángel Di María,Manchester United,Midfielder,13,361,3,48,0,32,80,20,44,1,0,0,0,116,361,-245,Ángel Di María
Jeremy Mathieu,Barcelona,Defender,14,437,0,60,0,5,89,18,56,6,3,3,0,115.75,437,-321.25,Jeremy Mathieu
Isco,Real Madrid,Midfielder,16,325,2,64,0,21,89,15,48,1,0,3,1,114,325,-211,Isco
Sergio Busquets,Barcelona,Midfielder,17,416,1,33,0,10,92,16,52,2,1,3,0,113,416,-303,Sergio Busquets
Pedro,Barcelona,Forward,17,184,3,56,0,12,86,13,37,0,0,2,0,112.695,184,-71.305,Pedro
Morgan Schneiderlin,Southampton,Midfielder,16,307,3,42,0,10,89,18,39,4,0,5,1,112,307,-195,Morgan Schneiderlin
Shane Long,Southampton,Forward,19,117,2,53,0,10,71,17,45,2,0,0,0,111.5275,117,-5.4725,Shane Long
Sadio Mané,Southampton,Midfielder,14,229,4,47,0,18,83,14,48,1,0,3,0,111,229,-118,Sadio Mané
Xavi,Barcelona,Midfielder,14,472,1,50,0,24,93,16,58,1,0,1,0,111,472,-361,Xavi
Frank Lampard,Manchester City,Midfielder,16,223,5,73,0,2,84,15,40,1,0,1,0,110,223,-113,Frank Lampard
Adam Lallana,Liverpool,Midfielder,14,232,4,64,0,16,82,15,49,1,0,2,0,110,232,-122,Adam Lallana
Mathieu Flamini,Arsenal,Midfielder,16,392,0,0,0,5,92,16,48,6,2,3,0,108,392,-284,Mathieu Flamini
Antonio Valencia,Manchester United,Midfielder,16,406,0,50,0,12,89,16,54,3,1,2,0,108,406,-298,Antonio Valencia
Eric Dier,Tottenham Hotspur,Defender,12,102,2,50,0,3,78,18,56,5,2,3,0,107.25,102,5.25,Eric Dier
Marcos Rojo,Manchester United,Defender,10,248,0,0,0,4,87,21,49,10,3,2,0,107,248,-141,Marcos Rojo
Laurent Koscielny,Arsenal,Defender,11,329,2,50,0,0,90,20,46,8,1,1,0,106,329,-223,Laurent Koscielny
Mathieu Debuchy,Arsenal,Defender,10,92,1,57,0,2,79,17,57,8,1,2,0,105.5,92,13.5,Mathieu Debuchy
Nicolai Boilesen,Ajax,Defender,12,132,0,25,0,5,81,19,60,5,2,1,0,104.75,132,-27.25,Nicolai Boilesen
Daniel Carvajal,Real Madrid,Defender,13,207,0,0,0,17,86,16,40,4,0,5,0,104.75,207,-102.25,Daniel Carvajal
Diafra Sakho,West Ham United,Forward,14,134,8,41,0,12,60,15,38,1,0,1,0,104.25,134,-29.75,Diafra Sakho
Mark Noble,West Ham United,Midfielder,13,238,1,60,0,17,86,19,53,4,0,1,0,104,238,-134,Mark Noble
Dani Alves,Barcelona,Defender,14,240,0,33,0,17,89,14,41,2,2,3,0,102.75,240,-137.25,Dani Alves
Maya Yoshida,Southampton,Defender,11,115,1,100,0,1,80,21,60,6,1,2,0,101.75,115,-13.25,Maya Yoshida
Glen Johnson,Liverpool,Defender,11,144,1,20,0,3,83,18,60,5,0,1,0,101.25,144,-42.75,Glen Johnson
Cheikhou Kouyaté,West Ham United,Midfielder,16,64,1,50,0,8,79,15,47,3,2,3,0,101,64,37,Cheikhou Kouyaté
Enner Valencia,West Ham United,Forward,18,95,3,33,0,8,74,14,39,1,0,0,0,100.82,95,5.82,Enner Valencia
Ryan Mason,Tottenham Hotspur,Midfielder,15,158,0,31,0,14,81,19,53,3,1,4,0,99,158,-59,Ryan Mason
Kevin Nolan,West Ham United,Midfielder,16,119,1,78,0,7,80,18,34,3,0,0,0,98,119,-21,Kevin Nolan
Fernando,Manchester City,Midfielder,15,124,1,33,0,8,91,15,38,4,2,5,0,98,124,-26,Fernando
Vincent Kompany,Manchester City,Defender,13,245,0,0,0,2,89,20,43,7,1,4,0,97.5,245,-147.5,Vincent Kompany
Morgan Amalfitano,West Ham United,Midfielder,15,113,2,33,0,6,79,18,44,2,0,2,0,96,113,-17,Morgan Amalfitano
Javier Mascherano,Barcelona,Defender,13,412,0,0,0,2,92,21,59,4,0,2,1,95.5,412,-316.5,Javier Mascherano
Stevan Jovetic,Manchester City,Forward,12,307,5,50,0,14,81,11,41,1,0,0,0,94.87,307,-212.13,Stevan Jovetic
