Player Name,Club,Position,Appearances,Squawka Score,Cleansheets,Goals Conceded,POTM,Saves Per Game,Saves Per Goal,Average Claim Success,Average Punch Accuracy,Distribution Success,Average Distribution Length,Yellow Cards,Red Cards,Points,PointsMod
Dodô,Internazionale,Defender,16,195,0,50,0,16,80,15,56,4,0,3,0,136.7,121
Lukasz Piszczek,Borussia Dortmund,Defender,16,69,0,57,0,10,73,20,62,4,0,2,0,133.6,121
Leonardo Bonucci,Juventus,Defender,17,553,1,50,0,6,87,21,53,7,1,5,0,140.6,121
Moustapha Bayal Sall,St Etienne,Defender,16,393,1,20,0,4,82,23,53,9,0,6,0,140.5,121
César Azpilicueta,Chelsea,Defender,17,315,0,100,0,9,85,18,53,6,0,0,1,136.8,120
Yann Sommer,Borussia Mönchengladbach,Goalkeeper,17,562,5,0.94,0,3.35,3.8,100,35,79,34,1,0,105,120
Dries Mertens,Napoli,Midfielder,16,307,1,41,0,26,81,16,49,1,0,1,0,117,120
Marco Verratti,Paris Saint Germain,Midfielder,17,491,0,25,0,18,92,17,53,2,0,6,0,113.625,120
Martín Demichelis,Manchester City,Defender,18,310,1,50,0,3,88,18,44,8,0,3,0,137.1,120
Raúl Albiol,Napoli,Defender,16,280,0,25,0,7,84,22,56,9,1,5,0,144.0,119
Blaise Matuidi,Paris Saint Germain,Midfielder,18,219,0,40,0,10,92,15,49,2,0,2,0,113.45,119
Pedro,Barcelona,Forward,17,184,3,56,0,12,86,13,37,0,0,2,0,112.695,119
Ángel Di María,Manchester United,Midfielder,13,361,3,48,0,32,80,20,44,1,0,0,0,116.3,119
Granit Xhaka,Borussia Mönchengladbach,Midfielder,14,407,1,50,0,9,85,21,50,6,0,3,1,101.25,119
Sergio Busquets,Barcelona,Midfielder,17,416,1,33,0,10,92,16,52,2,1,3,0,113.2,119
Arda Turan,Atlético de Madrid,Midfielder,16,72,2,57,0,21,85,13,50,1,0,4,0,116,119
Nico Pareja,Sevilla,Defender,16,317,1,60,0,3,77,24,57,8,1,5,0,139.1,119
Stefano Mauri,Lazio,Midfielder,13,274,7,53,0,10,80,17,53,1,0,2,0,115.225,118
Morgan De Sanctis,Roma,Goalkeeper,16,530,10,0.63,0,2.31,3.7,94,31,70,35,0,0,88.2,118
Calum Chambers,Arsenal,Defender,18,169,1,40,0,8,84,17,51,6,1,7,1,137.2,118
Danny Rose,Tottenham Hotspur,Defender,15,136,1,40,0,12,80,18,52,6,0,3,0,136.0,118
Jeffrey Bruma,PSV,Defender,14,428,1,27,0,4,90,22,61,9,0,2,1,137.9,118
Isco,Real Madrid,Midfielder,16,325,2,64,0,21,89,15,48,1,0,3,1,114.8,118
Matías Fernández,Fiorentina,Midfielder,14,384,2,50,0,24,88,16,56,1,1,1,0,114.4,117
Shane Long,Southampton,Forward,19,117,2,53,0,10,71,17,45,2,0,0,0,111.5275,117
Lucas Andersen,Ajax,Midfielder,15,187,1,56,0,26,84,13,53,1,0,1,0,114.375,117
Patrick Herrmann,Borussia Mönchengladbach,Midfielder,15,222,3,54,0,13,75,17,54,2,1,1,0,111.375,117
Francesco Totti,Roma,Forward,13,398,4,44,0,32,77,18,45,1,0,4,0,106.8225,117
Alessandro Florenzi,Roma,Midfielder,17,233,2,53,0,15,78,17,38,2,0,3,0,111.3,117
Antonio Valencia,Manchester United,Midfielder,16,406,0,50,0,12,89,16,54,3,1,2,0,108.2,117
Manuel Neuer,FC Bayern München,Goalkeeper,17,726,13,0.24,0,1.59,6.75,88,6,89,29,1,0,77.8,117
André Hahn,Borussia Mönchengladbach,Midfielder,16,27,3,40,0,11,64,17,42,3,0,2,0,107.4,116
Christian Fuchs,FC Schalke 04,Defender,15,67,1,40,0,17,72,22,48,4,0,1,0,132.8,116
Mark Noble,West Ham United,Midfielder,13,238,1,60,0,17,86,19,53,4,0,1,0,104.175,116
